order_id,order_timestamp,party_size,order_total,item_count
100041,2025-01-01 19:55:00,2,27.69,3
100042,2025-01-01 19:26:00,2,17.25,2
100043,2025-01-01 19:33:00,1,28.36,3
100044,2025-01-01 19:27:00,2,11.95,2
100045,2025-01-01 19:16:00,4,37.53,5
100046,2025-01-01 19:56:00,1,29.65,3
100047,2025-01-01 19:15:00,5,34.68,5
100048,2025-01-01 19:42:00,2,15.77,3
100049,2025-01-01 19:15:00,2,44.15,4
100050,2025-01-01 19:45:00,2,23.32,2
100051,2025-01-01 19:53:00,3,47.42,5
100052,2025-01-01 19:15:00,4,75.1,6
100053,2025-01-01 19:10:00,2,18.48,2
100054,2025-01-01 19:10:00,2,36.75,3
100055,2025-01-01 19:14:00,3,49.64,5
100056,2025-01-01 19:44:00,2,32.92,2
100057,2025-01-01 19:10:00,2,19.05,2
100058,2025-01-01 19:36:00,2,20.79,2
100059,2025-01-01 19:53:00,1,0.0,1
100060,2025-01-01 19:46:00,4,44.85,5
100061,2025-01-01 19:08:00,1,14.48,1
100062,2025-01-01 19:43:00,5,81.45,7
100063,2025-01-01 19:57:00,3,26.77,3
100064,2025-01-01 19:52:00,1,27.04,2
100065,2025-01-02 12:19:00,6,68.63,8
100066,2025-01-02 12:48:00,5,39.26,5
100067,2025-01-02 12:52:00,3,59.09,5
100068,2025-01-02 12:37:00,2,16.4,4
100069,2025-01-02 12:30:00,2,24.94,3
100070,2025-01-02 12:34:00,4,56.99,6
100071,2025-01-02 12:21:00,2,23.35,2
100072,2025-01-02 12:44:00,3,38.21,4
100073,2025-01-02 12:30:00,2,19.0,3
100074,2025-01-02 12:05:00,2,32.11,3
100075,2025-01-02 12:50:00,1,15.77,3
100076,2025-01-02 12:55:00,5,47.75,5
100077,2025-01-02 12:02:00,2,12.83,4
100078,2025-01-02 12:46:00,3,35.45,3
100079,2025-01-02 12:17:00,3,18.74,4
100080,2025-01-02 12:53:00,2,18.32,4
100081,2025-01-02 12:44:00,1,43.47,3
100082,2025-01-02 12:31:00,2,29.0,2
100083,2025-01-02 12:13:00,2,6.37,2
100084,2025-01-02 12:44:00,2,15.35,3
100085,2025-01-02 19:59:00,1,11.57,1
100086,2025-01-02 19:38:00,5,49.95,7
100087,2025-01-02 19:37:00,4,47.72,5
100088,2025-01-02 19:34:00,4,34.54,4
100089,2025-01-02 19:33:00,2,41.45,4
100090,2025-01-02 19:36:00,2,23.08,2
100091,2025-01-02 19:03:00,4,40.35,5
100092,2025-01-02 19:00:00,3,14.08,5
100093,2025-01-02 19:53:00,3,42.0,5
100094,2025-01-02 19:51:00,2,29.5,2
100095,2025-01-02 19:29:00,2,32.43,3
100096,2025-01-02 19:29:00,2,17.11,2
100097,2025-01-02 19:54:00,1,30.93,2
100098,2025-01-02 19:53:00,1,7.04,1
100099,2025-01-02 19:54:00,2,16.15,3
100100,2025-01-02 19:12:00,3,40.86,3
100101,2025-01-02 19:08:00,3,18.12,3
100102,2025-01-02 19:50:00,2,10.23,2
100103,2025-01-02 19:07:00,4,43.84,6
100104,2025-01-02 19:32:00,2,21.52,2
100105,2025-01-02 19:36:00,2,29.73,4
100106,2025-01-02 19:37:00,3,37.97,4
100107,2025-01-02 19:18:00,2,36.08,4
100108,2025-01-02 19:02:00,4,37.7,4
100109,2025-01-02 19:57:00,4,43.12,6
100110,2025-01-02 19:24:00,2,14.08,2
100111,2025-01-02 19:34:00,4,60.41,6
100112,2025-01-02 19:11:00,2,6.46,2
100113,2025-01-02 19:22:00,1,11.57,1
100114,2025-01-02 19:38:00,1,28.95,2
100115,2025-01-02 19:59:00,4,36.84,4
100116,2025-01-02 19:32:00,2,47.96,4
100117,2025-01-02 19:32:00,3,21.96,3
100118,2025-01-02 19:59:00,2,29.93,3
100119,2025-01-02 19:10:00,2,57.29,4
100120,2025-01-02 19:59:00,4,21.83,4
100121,2025-01-02 19:29:00,2,24.89,2
100122,2025-01-02 19:31:00,2,14.04,2
100123,2025-01-02 19:28:00,2,6.37,2
100124,2025-01-02 19:20:00,2,29.93,2
100125,2025-01-02 19:03:00,5,67.88,6
100126,2025-01-02 19:51:00,3,31.55,4
100127,2025-01-02 19:04:00,1,19.46,2
100128,2025-01-02 19:49:00,3,42.5,4
100129,2025-01-02 19:38:00,1,38.13,3
100130,2025-01-02 19:34:00,4,65.13,6
100131,2025-01-02 19:16:00,3,54.44,5
100132,2025-01-03 12:17:00,4,21.16,4
100133,2025-01-03 12:14:00,2,17.79,4
100134,2025-01-03 12:37:00,4,51.9,5
100135,2025-01-03 12:41:00,3,27.14,4
100136,2025-01-03 12:14:00,3,76.47,5
100137,2025-01-03 12:20:00,3,36.46,3
100138,2025-01-03 12:39:00,1,17.24,3
100139,2025-01-03 12:45:00,2,40.74,4
100140,2025-01-03 12:25:00,8,73.37,10
100141,2025-01-03 12:28:00,5,77.66,7
100142,2025-01-03 12:07:00,2,51.7,4
100143,2025-01-03 12:45:00,2,35.96,4
100144,2025-01-03 12:49:00,4,47.06,6
100145,2025-01-03 12:19:00,5,55.2,6
100146,2025-01-03 12:21:00,2,6.37,3
100147,2025-01-03 12:40:00,5,36.33,5
100148,2025-01-03 12:52:00,2,17.66,3
100149,2025-01-03 12:27:00,4,46.45,6
100150,2025-01-03 12:22:00,2,30.94,3
100151,2025-01-03 12:39:00,2,49.71,4
100152,2025-01-03 12:43:00,3,33.09,5
100153,2025-01-03 12:13:00,5,48.7,5
100154,2025-01-03 12:23:00,5,44.7,6
100155,2025-01-03 12:49:00,3,24.94,3
100156,2025-01-03 12:09:00,2,30.3,3
100157,2025-01-03 12:28:00,5,80.56,6
100158,2025-01-03 12:08:00,2,18.26,2
100159,2025-01-03 12:41:00,2,28.86,2
100160,2025-01-03 12:59:00,1,4.27,2
100161,2025-01-03 12:30:00,4,51.66,6
100162,2025-01-03 12:48:00,2,36.48,3
100163,2025-01-03 12:03:00,2,20.08,3
100164,2025-01-03 12:29:00,3,25.52,3
100165,2025-01-03 12:59:00,2,22.29,3
100166,2025-01-03 12:51:00,2,19.26,4
100167,2025-01-03 12:19:00,3,10.73,4
100168,2025-01-03 12:04:00,2,40.67,3
100169,2025-01-03 12:02:00,1,8.05,3
100170,2025-01-03 19:39:00,4,45.12,4
100171,2025-01-03 19:32:00,2,19.0,2
100172,2025-01-03 19:51:00,5,49.06,5
100173,2025-01-03 19:52:00,2,42.99,3
100174,2025-01-03 19:56:00,2,47.94,4
100175,2025-01-03 19:57:00,5,64.11,5
100176,2025-01-03 19:26:00,1,3.19,1
100177,2025-01-03 19:37:00,3,48.05,5
100178,2025-01-03 19:53:00,2,3.19,3
100179,2025-01-03 19:37:00,3,19.62,3
100180,2025-01-03 19:28:00,3,34.95,5
100181,2025-01-03 19:44:00,2,31.32,4
100182,2025-01-03 19:21:00,3,48.34,4
100183,2025-01-03 19:36:00,3,34.44,4
100184,2025-01-03 19:45:00,4,29.46,4
100185,2025-01-03 19:29:00,2,16.65,2
100186,2025-01-03 19:53:00,3,37.44,5
100187,2025-01-03 19:47:00,2,49.87,4
100188,2025-01-03 19:39:00,2,26.4,4
100189,2025-01-03 19:57:00,6,67.05,7
100190,2025-01-03 19:54:00,6,84.18,7
100191,2025-01-03 19:52:00,5,70.34,7
100192,2025-01-03 19:01:00,5,42.11,6
100193,2025-01-03 19:09:00,2,26.54,3
100194,2025-01-03 19:18:00,2,33.42,3
100195,2025-01-03 19:30:00,5,62.45,7
100196,2025-01-03 19:58:00,4,32.67,4
100197,2025-01-03 19:07:00,2,9.94,2
100198,2025-01-03 19:57:00,4,26.3,4
100199,2025-01-03 19:52:00,3,30.29,4
100200,2025-01-03 19:01:00,3,44.36,5
100201,2025-01-03 19:43:00,2,39.57,4
100202,2025-01-03 19:37:00,5,60.68,7
100203,2025-01-03 19:20:00,3,30.97,5
100204,2025-01-03 19:01:00,3,23.93,3
100205,2025-01-03 19:10:00,2,46.49,4
100206,2025-01-03 19:20:00,2,19.18,2
100207,2025-01-03 19:53:00,2,23.02,4
100208,2025-01-03 19:29:00,2,16.5,2
100209,2025-01-03 19:07:00,6,54.75,6
100210,2025-01-03 19:48:00,4,41.2,5
100211,2025-01-03 19:10:00,4,33.12,6
100212,2025-01-03 19:54:00,3,3.19,3
100213,2025-01-03 19:27:00,1,14.48,3
100214,2025-01-03 19:07:00,2,13.19,2
100215,2025-01-03 19:02:00,3,22.66,3
100216,2025-01-03 19:43:00,2,35.68,4
100217,2025-01-03 19:22:00,4,65.42,5
100218,2025-01-03 19:51:00,1,4.52,1
100219,2025-01-03 19:39:00,2,30.7,4
100220,2025-01-03 19:30:00,2,23.83,4
100221,2025-01-03 19:46:00,1,3.78,2
100222,2025-01-03 19:54:00,5,47.01,7
100223,2025-01-03 19:07:00,2,17.25,2
100224,2025-01-03 19:47:00,5,58.85,6
100225,2025-01-03 19:18:00,5,71.38,7
100226,2025-01-03 19:07:00,2,14.76,2
100227,2025-01-03 19:20:00,3,24.42,4
100228,2025-01-03 19:23:00,5,50.73,5
100229,2025-01-03 19:18:00,2,25.46,2
100230,2025-01-03 19:09:00,2,15.68,3
100231,2025-01-03 19:23:00,1,41.52,3
100232,2025-01-03 19:46:00,4,58.88,5
100233,2025-01-03 19:15:00,3,44.76,4
100234,2025-01-03 19:21:00,1,6.75,2
100235,2025-01-03 19:14:00,4,33.98,4
100236,2025-01-03 19:07:00,4,54.52,6
100237,2025-01-03 19:37:00,2,16.79,4
100238,2025-01-03 19:43:00,2,36.06,4
100239,2025-01-03 19:30:00,3,18.26,3
100240,2025-01-03 19:24:00,2,40.61,3
100241,2025-01-03 19:49:00,2,20.35,3
100242,2025-01-03 19:41:00,2,40.87,4
100243,2025-01-03 19:29:00,5,48.77,6
100244,2025-01-03 19:40:00,2,9.56,3
100245,2025-01-03 19:27:00,2,52.25,4
100246,2025-01-03 19:01:00,2,33.94,4
100247,2025-01-03 19:48:00,4,55.99,4
100248,2025-01-03 19:35:00,4,47.4,4
100249,2025-01-03 19:08:00,3,58.61,5
100250,2025-01-03 19:50:00,3,49.47,4
100251,2025-01-03 19:49:00,3,32.74,3
100252,2025-01-03 19:55:00,3,37.87,4
100253,2025-01-03 19:22:00,2,57.11,4
100254,2025-01-03 19:48:00,5,48.0,5
100255,2025-01-03 19:15:00,3,38.68,3
100256,2025-01-03 19:38:00,2,1.08,2
100257,2025-01-03 19:02:00,1,3.19,1
100258,2025-01-03 19:29:00,2,33.78,4
100259,2025-01-03 19:24:00,5,68.47,6
100260,2025-01-04 12:33:00,2,31.03,3
100261,2025-01-04 12:25:00,2,3.19,2
100262,2025-01-04 12:16:00,4,53.36,4
100263,2025-01-04 12:00:00,3,13.45,3
100264,2025-01-04 12:53:00,5,69.9,6
100265,2025-01-04 12:02:00,2,41.55,3
100266,2025-01-04 12:14:00,3,28.49,4
100267,2025-01-04 12:20:00,5,51.13,7
100268,2025-01-04 12:25:00,3,41.93,4
100269,2025-01-04 12:40:00,2,11.9,2
100270,2025-01-04 12:11:00,4,48.97,4
100271,2025-01-04 12:02:00,5,57.47,6
100272,2025-01-04 12:08:00,3,23.02,3
100273,2025-01-04 12:05:00,2,15.35,2
100274,2025-01-04 12:52:00,6,86.07,8
100275,2025-01-04 12:52:00,3,29.68,3
100276,2025-01-04 12:09:00,2,27.47,3
100277,2025-01-04 12:10:00,2,30.2,3
100278,2025-01-04 12:06:00,3,24.67,4
100279,2025-01-04 12:26:00,2,22.21,3
100280,2025-01-04 12:47:00,3,31.44,5
100281,2025-01-04 12:20:00,1,29.08,3
100282,2025-01-04 12:04:00,2,48.03,3
100283,2025-01-04 12:20:00,4,47.86,6
100284,2025-01-04 19:39:00,1,4.52,2
100285,2025-01-04 19:59:00,2,12.76,3
100286,2025-01-04 19:37:00,1,10.42,1
100287,2025-01-04 19:25:00,3,23.96,3
100288,2025-01-04 19:02:00,3,56.07,5
100289,2025-01-04 19:22:00,2,29.91,4
100290,2025-01-04 19:16:00,1,14.48,1
100291,2025-01-04 19:53:00,2,29.0,3
100292,2025-01-04 19:40:00,5,70.35,7
100293,2025-01-04 19:40:00,1,29.29,3
100294,2025-01-04 19:35:00,4,52.49,5
100295,2025-01-04 19:15:00,5,44.15,6
100296,2025-01-04 19:05:00,5,28.89,7
100297,2025-01-04 19:12:00,6,66.92,7
100298,2025-01-04 19:08:00,2,33.77,3
100299,2025-01-04 19:01:00,6,65.53,8
100300,2025-01-04 19:28:00,4,38.21,4
100301,2025-01-04 19:10:00,2,11.02,3
100302,2025-01-04 19:46:00,5,39.31,5
100303,2025-01-04 19:31:00,1,28.52,3
100304,2025-01-04 19:00:00,2,19.04,3
100305,2025-01-04 19:58:00,4,19.79,6
100306,2025-01-04 19:59:00,6,93.11,8
100307,2025-01-04 19:50:00,2,26.65,3
100308,2025-01-04 19:07:00,1,30.3,2
100309,2025-01-04 19:53:00,2,32.43,3
100310,2025-01-04 19:37:00,2,15.46,2
100311,2025-01-04 19:31:00,1,24.87,3
100312,2025-01-04 19:21:00,2,6.97,4
100313,2025-01-04 19:28:00,2,19.26,2
100314,2025-01-04 19:04:00,1,6.46,1
100315,2025-01-04 19:30:00,5,86.09,7
100316,2025-01-04 19:55:00,2,28.05,4
100317,2025-01-04 19:30:00,4,60.56,5
100318,2025-01-04 19:19:00,5,48.52,6
100319,2025-01-04 19:32:00,6,71.64,7
100320,2025-01-04 19:17:00,2,39.41,3
100321,2025-01-04 19:49:00,1,14.48,1
100322,2025-01-04 19:15:00,3,64.72,5
100323,2025-01-04 19:44:00,2,47.23,4
100324,2025-01-04 19:07:00,3,31.75,3
100325,2025-01-04 19:29:00,4,69.03,6
100326,2025-01-04 19:36:00,5,35.68,7
100327,2025-01-04 19:38:00,2,37.73,4
100328,2025-01-04 19:37:00,2,22.52,2
100329,2025-01-04 19:22:00,2,20.89,3
100330,2025-01-04 19:56:00,2,18.71,3
100331,2025-01-04 19:13:00,5,42.42,6
100332,2025-01-04 19:43:00,2,37.7,3
100333,2025-01-04 19:20:00,3,48.59,5
100334,2025-01-04 19:38:00,2,24.94,2
100335,2025-01-04 19:05:00,2,28.72,4
100336,2025-01-04 19:17:00,2,20.43,2
100337,2025-01-04 19:32:00,2,14.52,2
100338,2025-01-04 19:45:00,2,32.11,3
100339,2025-01-04 19:36:00,1,1.08,1
100340,2025-01-04 19:16:00,3,40.39,5
100341,2025-01-04 19:08:00,4,42.17,6
100342,2025-01-05 12:33:00,4,43.91,5
100343,2025-01-05 12:31:00,5,53.14,7
100344,2025-01-05 12:50:00,2,33.16,4
100345,2025-01-05 12:33:00,2,26.42,4
100346,2025-01-05 19:32:00,3,29.24,3
100347,2025-01-05 19:15:00,2,1.08,2
100348,2025-01-05 19:46:00,4,50.8,4
100349,2025-01-05 19:46:00,4,38.4,5
100350,2025-01-05 19:25:00,3,47.71,5
100351,2025-01-05 19:22:00,3,35.99,5
100352,2025-01-05 19:47:00,2,6.43,2
100353,2025-01-05 19:19:00,3,47.01,5
100354,2025-01-05 19:31:00,5,64.01,7
100355,2025-01-05 19:09:00,2,33.95,3
100356,2025-01-05 19:13:00,4,34.49,4
100357,2025-01-06 12:29:00,2,27.46,4
100358,2025-01-06 12:05:00,1,12.59,2
100359,2025-01-06 12:10:00,3,47.58,5
100360,2025-01-06 12:07:00,2,45.33,4
100361,2025-01-06 12:51:00,1,21.51,3
100362,2025-01-06 12:16:00,2,47.79,4
100363,2025-01-06 12:28:00,1,31.03,3
100364,2025-01-06 12:42:00,8,89.6,8
100365,2025-01-06 12:41:00,1,35.71,3
100366,2025-01-06 12:49:00,3,25.26,5
100367,2025-01-06 12:26:00,2,34.78,3
100368,2025-01-06 12:46:00,1,11.68,1
100369,2025-01-06 12:37:00,4,39.09,5
100370,2025-01-06 12:23:00,2,3.78,2
100371,2025-01-06 12:46:00,2,37.7,4
100372,2025-01-06 12:46:00,5,70.08,6
100373,2025-01-06 12:52:00,2,22.57,2
100374,2025-01-06 19:17:00,4,25.68,4
100375,2025-01-06 19:48:00,2,10.08,4
100376,2025-01-06 19:29:00,3,41.47,4
100377,2025-01-06 19:08:00,2,41.17,4
100378,2025-01-06 19:22:00,2,3.19,2
100379,2025-01-06 19:52:00,3,41.48,4
100380,2025-01-06 19:15:00,1,20.85,3
100381,2025-01-06 19:48:00,2,43.12,4
100382,2025-01-06 19:33:00,8,72.87,8
100383,2025-01-06 19:23:00,3,39.85,4
100384,2025-01-06 19:14:00,6,63.45,8
100385,2025-01-06 19:29:00,5,58.38,5
100386,2025-01-06 19:18:00,1,13.44,3
100387,2025-01-06 19:13:00,2,31.13,3
100388,2025-01-06 19:46:00,3,46.6,4
100389,2025-01-06 19:19:00,4,62.54,6
100390,2025-01-06 19:21:00,2,26.09,3
100391,2025-01-06 19:31:00,2,32.42,4
100392,2025-01-06 19:53:00,1,36.75,3
100393,2025-01-06 19:04:00,5,32.95,5
100394,2025-01-06 19:56:00,2,14.45,3
100395,2025-01-06 19:25:00,6,79.05,8
100396,2025-01-06 19:14:00,1,11.91,2
100397,2025-01-06 19:14:00,1,34.32,3
100398,2025-01-06 19:48:00,4,34.4,6
100399,2025-01-06 19:37:00,3,37.94,4
100400,2025-01-06 19:06:00,4,15.34,5
100401,2025-01-06 19:45:00,2,29.2,3
100402,2025-01-06 19:26:00,2,18.8,3
100403,2025-01-06 19:41:00,5,63.56,7
100404,2025-01-06 19:49:00,2,46.82,4
100405,2025-01-06 19:39:00,3,26.54,3
100406,2025-01-06 19:29:00,1,10.42,1
100407,2025-01-06 19:01:00,3,38.72,5
100408,2025-01-06 19:53:00,3,33.99,4
100409,2025-01-06 19:55:00,2,28.12,4
100410,2025-01-06 19:56:00,2,15.56,3
100411,2025-01-06 19:42:00,1,31.21,3
100412,2025-01-06 19:38:00,2,27.31,4
100413,2025-01-06 19:45:00,5,26.44,6
100414,2025-01-06 19:24:00,2,17.63,3
100415,2025-01-07 12:35:00,4,52.53,5
100416,2025-01-07 12:21:00,5,45.33,5
100417,2025-01-07 12:09:00,2,13.82,2
100418,2025-01-07 12:07:00,4,39.92,4
100419,2025-01-07 12:18:00,6,18.45,8
100420,2025-01-07 12:47:00,4,20.31,4
100421,2025-01-07 12:14:00,1,13.6,2
100422,2025-01-07 12:00:00,2,50.58,4
100423,2025-01-07 12:28:00,4,59.84,6
100424,2025-01-07 12:04:00,3,42.6,4
100425,2025-01-07 12:13:00,2,32.51,3
100426,2025-01-07 12:02:00,3,37.2,3
100427,2025-01-07 12:49:00,2,52.4,4
100428,2025-01-07 12:32:00,2,34.83,4
100429,2025-01-07 12:29:00,5,53.46,7
100430,2025-01-07 12:54:00,3,27.72,3
100431,2025-01-07 19:58:00,2,28.15,2
100432,2025-01-07 19:49:00,2,16.64,2
100433,2025-01-07 19:46:00,8,87.7,10
100434,2025-01-07 19:50:00,2,26.69,3
100435,2025-01-07 19:45:00,1,40.01,3
100436,2025-01-07 19:48:00,5,51.1,5
100437,2025-01-07 19:31:00,4,56.26,6
100438,2025-01-07 19:01:00,3,24.89,3
100439,2025-01-07 19:06:00,3,37.79,4
100440,2025-01-07 19:46:00,4,50.72,4
100441,2025-01-07 19:02:00,3,27.47,3
100442,2025-01-07 19:01:00,2,39.22,4
100443,2025-01-07 19:47:00,2,25.1,3
100444,2025-01-07 19:11:00,2,4.27,2
100445,2025-01-07 19:44:00,5,74.73,6
100446,2025-01-07 19:26:00,4,49.1,5
100447,2025-01-07 19:56:00,1,19.47,1
100448,2025-01-07 19:32:00,3,17.7,3
100449,2025-01-07 19:26:00,2,14.48,2
100450,2025-01-07 19:35:00,3,27.07,3
100451,2025-01-07 19:06:00,8,86.71,8
100452,2025-01-07 19:05:00,2,27.39,2
100453,2025-01-07 19:10:00,3,60.76,5
100454,2025-01-07 19:45:00,4,71.86,6
100455,2025-01-07 19:34:00,2,36.04,3
100456,2025-01-07 19:34:00,2,27.67,3
100457,2025-01-07 19:02:00,4,26.43,4
100458,2025-01-07 19:27:00,1,14.52,1
100459,2025-01-07 19:35:00,2,41.0,4
100460,2025-01-07 19:14:00,6,78.07,8
100461,2025-01-07 19:46:00,5,51.99,7
100462,2025-01-07 19:51:00,2,25.17,3
100463,2025-01-07 19:32:00,2,40.86,4
100464,2025-01-07 19:35:00,2,51.51,4
100465,2025-01-07 19:49:00,3,6.37,3
100466,2025-01-07 19:51:00,2,3.19,2
100467,2025-01-07 19:58:00,5,66.04,5
100468,2025-01-08 12:34:00,4,76.74,5
100469,2025-01-08 12:39:00,1,3.78,1
100470,2025-01-08 12:20:00,2,34.74,4
100471,2025-01-08 12:39:00,4,48.74,6
100472,2025-01-08 12:04:00,2,8.12,2
100473,2025-01-08 12:51:00,2,22.28,2
100474,2025-01-08 12:31:00,2,37.61,3
100475,2025-01-08 12:11:00,6,51.93,6
100476,2025-01-08 12:25:00,2,32.68,4
100477,2025-01-08 12:37:00,2,21.34,3
100478,2025-01-08 12:55:00,2,20.22,4
100479,2025-01-08 12:34:00,2,18.38,3
100480,2025-01-08 12:47:00,2,42.17,4
100481,2025-01-08 12:32:00,3,18.67,3
100482,2025-01-08 12:48:00,1,3.19,1
100483,2025-01-08 12:15:00,3,18.67,3
100484,2025-01-08 12:10:00,2,38.51,3
100485,2025-01-08 12:47:00,6,82.07,7
100486,2025-01-08 12:02:00,3,53.32,5
100487,2025-01-08 12:40:00,3,49.2,5
100488,2025-01-08 12:46:00,2,26.2,2
100489,2025-01-08 12:48:00,1,36.17,3
100490,2025-01-08 19:24:00,2,25.75,2
100491,2025-01-08 19:18:00,2,6.37,2
100492,2025-01-08 19:20:00,2,31.51,4
100493,2025-01-08 19:51:00,2,46.56,4
100494,2025-01-08 19:55:00,6,68.9,8
100495,2025-01-08 19:20:00,4,60.59,6
100496,2025-01-08 19:52:00,2,16.1,2
100497,2025-01-08 19:37:00,5,47.58,6
100498,2025-01-08 19:02:00,2,25.78,3
100499,2025-01-08 19:27:00,5,32.5,5
100500,2025-01-08 19:06:00,5,69.04,6
100501,2025-01-08 19:50:00,3,26.37,5
100502,2025-01-08 19:08:00,2,21.99,2
100503,2025-01-08 19:04:00,2,14.52,2
100504,2025-01-08 19:35:00,2,7.71,2
100505,2025-01-08 19:03:00,5,48.74,5
100506,2025-01-08 19:15:00,4,59.68,5
100507,2025-01-08 19:44:00,3,41.62,3
100508,2025-01-08 19:48:00,3,45.08,4
100509,2025-01-08 19:44:00,2,28.98,3
100510,2025-01-08 19:52:00,2,14.68,3
100511,2025-01-08 19:47:00,2,32.34,4
100512,2025-01-08 19:07:00,1,17.94,3
100513,2025-01-08 19:35:00,2,30.62,3
100514,2025-01-08 19:22:00,3,45.26,5
100515,2025-01-08 19:18:00,2,33.18,2
100516,2025-01-08 19:37:00,6,78.38,6
100517,2025-01-08 19:34:00,2,11.27,2
100518,2025-01-08 19:30:00,3,54.3,4
100519,2025-01-08 19:47:00,2,9.94,2
100520,2025-01-08 19:12:00,3,45.74,4
100521,2025-01-08 19:48:00,3,35.16,3
100522,2025-01-08 19:22:00,3,39.22,4
100523,2025-01-08 19:50:00,4,29.69,4
100524,2025-01-08 19:48:00,2,38.95,4
100525,2025-01-08 19:37:00,6,56.22,7
100526,2025-01-08 19:23:00,2,24.94,2
100527,2025-01-08 19:12:00,4,30.88,4
100528,2025-01-08 19:18:00,3,53.75,4
100529,2025-01-08 19:38:00,1,43.18,3
100530,2025-01-08 19:30:00,3,18.67,3
100531,2025-01-08 19:11:00,2,38.74,3
100532,2025-01-08 19:31:00,5,32.84,5
100533,2025-01-08 19:07:00,2,25.62,3
100534,2025-01-08 19:10:00,4,46.11,4
100535,2025-01-08 19:41:00,1,3.19,1
100536,2025-01-08 19:16:00,4,53.02,6
100537,2025-01-08 19:01:00,2,45.6,4
100538,2025-01-08 19:08:00,4,38.95,4
100539,2025-01-08 19:41:00,2,30.08,3
100540,2025-01-08 19:03:00,6,57.07,7
100541,2025-01-08 19:03:00,4,55.25,5
100542,2025-01-08 19:42:00,1,3.19,1
100543,2025-01-09 12:50:00,2,4.27,2
100544,2025-01-09 12:23:00,5,60.26,7
100545,2025-01-09 12:44:00,1,26.69,3
100546,2025-01-09 12:55:00,2,19.01,3
100547,2025-01-09 12:40:00,3,42.16,5
100548,2025-01-09 12:20:00,4,49.94,4
100549,2025-01-09 19:55:00,2,22.64,3
100550,2025-01-09 19:50:00,3,22.52,3
100551,2025-01-09 19:38:00,3,29.28,4
100552,2025-01-09 19:03:00,2,45.31,3
100553,2025-01-09 19:52:00,2,13.26,3
100554,2025-01-09 19:37:00,6,55.21,6
100555,2025-01-09 19:17:00,2,39.75,3
100556,2025-01-09 19:56:00,2,27.36,3
100557,2025-01-09 19:24:00,4,44.73,5
100558,2025-01-09 19:00:00,2,31.68,4
100559,2025-01-09 19:56:00,2,45.52,3
100560,2025-01-09 19:56:00,3,14.62,3
100561,2025-01-09 19:36:00,1,18.3,3
100562,2025-01-09 19:19:00,2,29.52,2
100563,2025-01-09 19:14:00,2,52.27,4
100564,2025-01-09 19:24:00,3,26.8,5
100565,2025-01-11 12:11:00,1,3.19,1
100566,2025-01-11 12:15:00,5,44.97,6
100567,2025-01-11 12:20:00,2,19.92,2
100568,2025-01-11 12:04:00,4,70.95,6
100569,2025-01-11 12:47:00,3,39.73,4
100570,2025-01-11 12:52:00,2,56.37,4
100571,2025-01-11 12:19:00,3,35.86,4
100572,2025-01-11 12:07:00,4,43.53,4
100573,2025-01-11 12:35:00,3,34.97,5
100574,2025-01-11 12:29:00,1,15.85,2
100575,2025-01-11 12:50:00,2,39.39,4
100576,2025-01-11 12:25:00,4,30.62,5
100577,2025-01-11 12:06:00,2,22.12,3
100578,2025-01-11 12:37:00,2,39.79,3
100579,2025-01-11 12:44:00,2,17.23,2
100580,2025-01-11 12:45:00,2,45.44,4
