wait_time_id,log_timestamp,party_size,quoted_wait_minutes,actual_wait_minutes,seated_timestamp,day_of_week,hour_of_day,current_party_count,current_table_occupancy_pct,wait_type
39,2024-10-01 17:47:00,4,31,37,2024-10-01 18:24:00,1,17,26,89.97,walk_in
40,2024-10-01 17:23:00,4,41,37,2024-10-01 18:00:00,1,17,25,85.14,walk_in
41,2024-10-01 17:43:00,2,24,34,2024-10-01 18:17:00,1,17,21,71.92,walk_in
42,2024-10-01 18:36:00,4,28,41,2024-10-01 19:17:00,1,18,26,88.58,walk_in
43,2024-10-01 18:56:00,2,35,32,2024-10-01 19:28:00,1,18,26,88.06,walk_in
44,2024-10-01 18:55:00,1,33,40,2024-10-01 19:35:00,1,18,25,85.93,walk_in
45,2024-10-01 18:20:00,2,35,29,2024-10-01 18:49:00,1,18,24,81.24,walk_in
46,2024-10-01 18:27:00,2,30,41,2024-10-01 19:08:00,1,18,24,82.51,walk_in
47,2024-10-01 18:07:00,5,22,28,2024-10-01 18:35:00,1,18,21,70.67,walk_in
48,2024-10-01 18:40:00,2,38,28,2024-10-01 19:08:00,1,18,23,78.82,walk_in
49,2024-10-01 18:45:00,4,35,37,2024-10-01 19:22:00,1,18,25,86.01,walk_in
50,2024-10-01 18:37:00,3,30,43,2024-10-01 19:20:00,1,18,26,89.19,walk_in
51,2024-10-01 18:39:00,2,28,23,2024-10-01 19:02:00,1,18,26,89.73,walk_in
52,2024-10-01 19:01:00,4,36,51,2024-10-01 19:52:00,1,19,24,80.8,walk_in
53,2024-10-01 19:42:00,2,36,29,2024-10-01 20:11:00,1,19,26,89.37,walk_in
54,2024-10-01 19:22:00,3,32,34,2024-10-01 19:56:00,1,19,25,84.19,walk_in
55,2024-10-01 19:42:00,6,44,53,2024-10-01 20:35:00,1,19,25,84.8,walk_in
56,2024-10-01 19:32:00,5,31,42,2024-10-01 20:14:00,1,19,22,76.01,walk_in
57,2024-10-01 19:00:00,2,27,28,2024-10-01 19:28:00,1,19,25,86.53,walk_in
58,2024-10-01 19:26:00,4,31,22,2024-10-01 19:48:00,1,19,25,86.55,walk_in
59,2024-10-01 19:38:00,2,16,15,2024-10-01 19:53:00,1,19,22,74.87,walk_in
60,2024-10-01 19:25:00,2,30,43,2024-10-01 20:08:00,1,19,26,88.45,walk_in
61,2024-10-01 19:57:00,2,30,43,2024-10-01 20:40:00,1,19,25,84.81,walk_in
62,2024-10-01 20:20:00,2,37,26,2024-10-01 20:46:00,1,20,22,76.37,walk_in
63,2024-10-01 20:32:00,2,26,37,2024-10-01 21:09:00,1,20,25,85.28,walk_in
64,2024-10-01 20:18:00,2,36,48,2024-10-01 21:06:00,1,20,25,86.16,walk_in
65,2024-10-01 20:51:00,5,27,21,2024-10-01 21:12:00,1,20,22,74.36,walk_in
66,2024-10-01 20:53:00,4,35,49,2024-10-01 21:42:00,1,20,24,81.29,walk_in
67,2024-10-01 20:35:00,1,37,55,2024-10-01 21:30:00,1,20,26,89.67,walk_in
68,2024-10-01 20:04:00,1,17,14,2024-10-01 20:18:00,1,20,22,73.73,walk_in
69,2024-10-01 20:15:00,3,39,28,2024-10-01 20:43:00,1,20,24,81.52,walk_in
70,2024-10-01 20:19:00,5,24,28,2024-10-01 20:47:00,1,20,22,74.38,walk_in
71,2024-10-01 20:43:00,1,26,27,2024-10-01 21:10:00,1,20,22,75.67,walk_in
72,2024-10-01 21:13:00,4,5,7,2024-10-01 21:20:00,1,21,12,40.3,walk_in
73,2024-10-01 21:26:00,3,20,18,2024-10-01 21:44:00,1,21,15,52.92,walk_in
74,2024-10-01 22:00:00,2,22,15,2024-10-01 22:15:00,1,22,16,55.25,walk_in
75,2024-10-02 10:51:00,4,10,8,2024-10-02 10:59:00,2,10,13,46.63,walk_in
76,2024-10-02 10:30:00,3,26,33,2024-10-02 11:03:00,2,10,16,54.47,walk_in
77,2024-10-02 10:26:00,1,12,15,2024-10-02 10:41:00,2,10,13,45.11,walk_in
78,2024-10-02 11:29:00,3,43,55,2024-10-02 12:24:00,2,11,23,77.52,walk_in
79,2024-10-02 11:27:00,2,23,28,2024-10-02 11:55:00,2,11,19,65.05,walk_in
80,2024-10-02 11:22:00,2,22,16,2024-10-02 11:38:00,2,11,19,65.33,walk_in
81,2024-10-02 11:31:00,3,22,25,2024-10-02 11:56:00,2,11,19,64.85,walk_in
82,2024-10-02 11:43:00,4,19,22,2024-10-02 12:05:00,2,11,21,71.3,walk_in
83,2024-10-02 11:08:00,1,27,35,2024-10-02 11:43:00,2,11,18,60.29,walk_in
84,2024-10-02 11:17:00,2,17,22,2024-10-02 11:39:00,2,11,21,72.54,walk_in
85,2024-10-02 12:17:00,4,21,29,2024-10-02 12:46:00,2,12,22,74.55,walk_in
86,2024-10-02 12:07:00,1,29,40,2024-10-02 12:47:00,2,12,20,69.6,walk_in
87,2024-10-02 12:49:00,3,18,21,2024-10-02 13:10:00,2,12,18,62.87,walk_in
88,2024-10-02 12:27:00,4,19,14,2024-10-02 12:41:00,2,12,21,70.25,walk_in
89,2024-10-02 12:30:00,8,38,28,2024-10-02 12:58:00,2,12,22,75.68,walk_in
90,2024-10-02 12:29:00,2,29,42,2024-10-02 13:11:00,2,12,21,71.6,walk_in
91,2024-10-02 12:58:00,5,15,14,2024-10-02 13:12:00,2,12,20,68.13,walk_in
92,2024-10-02 13:55:00,1,15,15,2024-10-02 14:10:00,2,13,18,62.44,walk_in
93,2024-10-02 13:51:00,2,17,13,2024-10-02 14:04:00,2,13,18,60.55,walk_in
94,2024-10-02 13:35:00,2,17,13,2024-10-02 13:48:00,2,13,19,64.17,walk_in
95,2024-10-02 13:16:00,4,21,26,2024-10-02 13:42:00,2,13,21,70.36,walk_in
96,2024-10-02 13:43:00,4,25,22,2024-10-02 14:05:00,2,13,21,73.18,walk_in
97,2024-10-02 13:19:00,2,26,18,2024-10-02 13:37:00,2,13,23,78.82,walk_in
98,2024-10-02 13:26:00,4,16,18,2024-10-02 13:44:00,2,13,20,67.23,walk_in
99,2024-10-02 14:12:00,5,7,8,2024-10-02 14:20:00,2,14,13,46.63,walk_in
100,2024-10-02 14:31:00,3,19,20,2024-10-02 14:51:00,2,14,16,55.28,walk_in
101,2024-10-02 14:56:00,2,15,20,2024-10-02 15:16:00,2,14,18,61.09,walk_in
102,2024-10-02 15:03:00,2,9,9,2024-10-02 15:12:00,2,15,13,45.0,walk_in
103,2024-10-02 15:51:00,4,14,11,2024-10-02 16:02:00,2,15,14,49.09,walk_in
104,2024-10-02 15:28:00,2,16,18,2024-10-02 15:46:00,2,15,15,52.05,walk_in
105,2024-10-02 16:44:00,1,8,6,2024-10-02 16:50:00,2,16,14,47.01,walk_in
106,2024-10-02 17:17:00,2,30,24,2024-10-02 17:41:00,2,17,24,82.22,walk_in
107,2024-10-02 17:35:00,2,34,33,2024-10-02 18:08:00,2,17,23,76.95,walk_in
108,2024-10-02 17:20:00,2,27,20,2024-10-02 17:40:00,2,17,23,79.69,walk_in
109,2024-10-02 17:33:00,3,26,27,2024-10-02 18:00:00,2,17,21,71.83,walk_in
110,2024-10-02 17:41:00,2,28,25,2024-10-02 18:06:00,2,17,21,72.05,walk_in
111,2024-10-02 17:27:00,3,31,31,2024-10-02 17:58:00,2,17,23,78.66,walk_in
112,2024-10-02 17:45:00,3,19,19,2024-10-02 18:04:00,2,17,21,72.75,walk_in
113,2024-10-02 17:03:00,4,33,49,2024-10-02 17:52:00,2,17,24,83.31,walk_in
114,2024-10-02 17:11:00,2,22,19,2024-10-02 17:30:00,2,17,22,74.37,walk_in
115,2024-10-02 17:16:00,2,39,52,2024-10-02 18:08:00,2,17,23,78.25,walk_in
116,2024-10-02 18:19:00,3,16,22,2024-10-02 18:41:00,2,18,21,71.74,walk_in
117,2024-10-02 18:59:00,4,35,27,2024-10-02 19:26:00,2,18,22,75.84,walk_in
118,2024-10-02 18:01:00,3,26,32,2024-10-02 18:33:00,2,18,22,74.29,walk_in
119,2024-10-02 18:08:00,4,40,39,2024-10-02 18:47:00,2,18,24,82.3,walk_in
120,2024-10-02 18:08:00,6,31,38,2024-10-02 18:46:00,2,18,26,86.84,walk_in
121,2024-10-02 18:35:00,2,26,38,2024-10-02 19:13:00,2,18,21,72.56,walk_in
122,2024-10-02 18:17:00,2,42,46,2024-10-02 19:03:00,2,18,25,85.9,walk_in
123,2024-10-02 18:54:00,2,34,37,2024-10-02 19:31:00,2,18,24,82.94,walk_in
124,2024-10-02 18:08:00,2,27,39,2024-10-02 18:47:00,2,18,21,72.58,walk_in
125,2024-10-02 18:46:00,2,17,12,2024-10-02 18:58:00,2,18,21,70.17,walk_in
126,2024-10-02 19:21:00,4,42,56,2024-10-02 20:17:00,2,19,25,86.16,walk_in
127,2024-10-02 19:31:00,4,32,38,2024-10-02 20:09:00,2,19,25,86.46,walk_in
128,2024-10-02 19:45:00,4,16,13,2024-10-02 19:58:00,2,19,21,70.69,walk_in
129,2024-10-02 19:04:00,1,30,37,2024-10-02 19:41:00,2,19,26,87.64,walk_in
130,2024-10-02 19:11:00,2,29,38,2024-10-02 19:49:00,2,19,24,82.2,walk_in
131,2024-10-02 19:32:00,2,19,19,2024-10-02 19:51:00,2,19,21,72.18,walk_in
132,2024-10-02 19:47:00,2,41,42,2024-10-02 20:29:00,2,19,23,78.24,walk_in
133,2024-10-02 19:10:00,1,40,31,2024-10-02 19:41:00,2,19,23,77.95,walk_in
134,2024-10-02 19:41:00,4,41,47,2024-10-02 20:28:00,2,19,25,86.54,walk_in
135,2024-10-02 19:15:00,4,44,36,2024-10-02 19:51:00,2,19,23,77.65,walk_in
136,2024-10-02 20:14:00,2,32,27,2024-10-02 20:41:00,2,20,22,75.27,walk_in
137,2024-10-02 20:31:00,6,38,28,2024-10-02 20:59:00,2,20,24,80.29,walk_in
138,2024-10-02 20:17:00,5,39,38,2024-10-02 20:55:00,2,20,24,81.45,walk_in
139,2024-10-02 20:35:00,2,44,33,2024-10-02 21:08:00,2,20,26,87.78,walk_in
140,2024-10-02 20:18:00,1,26,31,2024-10-02 20:49:00,2,20,22,74.86,walk_in
141,2024-10-02 20:36:00,4,43,43,2024-10-02 21:19:00,2,20,25,84.69,walk_in
142,2024-10-02 20:37:00,1,32,35,2024-10-02 21:12:00,2,20,25,83.71,walk_in
143,2024-10-02 20:30:00,4,39,33,2024-10-02 21:03:00,2,20,26,87.79,walk_in
144,2024-10-02 20:10:00,3,25,25,2024-10-02 20:35:00,2,20,22,74.13,walk_in
145,2024-10-02 20:28:00,4,27,36,2024-10-02 21:04:00,2,20,24,82.51,walk_in
146,2024-10-02 21:31:00,2,9,9,2024-10-02 21:40:00,2,21,14,49.42,walk_in
147,2024-10-02 21:28:00,2,16,14,2024-10-02 21:42:00,2,21,15,50.48,walk_in
148,2024-10-02 22:39:00,7,12,12,2024-10-02 22:51:00,2,22,11,37.65,walk_in
149,2024-10-03 10:20:00,1,26,24,2024-10-03 10:44:00,3,10,18,61.7,walk_in
150,2024-10-03 10:29:00,4,7,10,2024-10-03 10:39:00,3,10,13,44.39,walk_in
151,2024-10-03 10:37:00,2,11,16,2024-10-03 10:53:00,3,10,14,47.59,walk_in
152,2024-10-03 11:14:00,1,15,17,2024-10-03 11:31:00,3,11,19,64.18,walk_in
153,2024-10-03 11:44:00,1,34,46,2024-10-03 12:30:00,3,11,23,78.57,walk_in
154,2024-10-03 11:56:00,8,25,26,2024-10-03 12:22:00,3,11,21,71.25,walk_in
155,2024-10-03 11:11:00,2,25,30,2024-10-03 11:41:00,3,11,23,79.82,walk_in
156,2024-10-03 11:03:00,4,16,16,2024-10-03 11:19:00,3,11,18,62.99,walk_in
157,2024-10-03 11:14:00,2,25,18,2024-10-03 11:32:00,3,11,22,75.04,walk_in
158,2024-10-03 11:47:00,4,28,37,2024-10-03 12:24:00,3,11,20,68.44,walk_in
159,2024-10-03 12:00:00,2,22,31,2024-10-03 12:31:00,3,12,20,69.68,walk_in
160,2024-10-03 12:15:00,3,44,31,2024-10-03 12:46:00,3,12,23,77.54,walk_in
161,2024-10-03 12:13:00,4,43,35,2024-10-03 12:48:00,3,12,23,78.7,walk_in
162,2024-10-03 12:35:00,5,22,18,2024-10-03 12:53:00,3,12,21,70.91,walk_in
163,2024-10-03 12:58:00,2,16,18,2024-10-03 13:16:00,3,12,21,72.51,walk_in
164,2024-10-03 12:38:00,3,23,16,2024-10-03 12:54:00,3,12,18,61.41,walk_in
165,2024-10-03 12:23:00,4,27,31,2024-10-03 12:54:00,3,12,21,72.63,walk_in
166,2024-10-03 13:14:00,1,16,14,2024-10-03 13:28:00,3,13,18,62.03,walk_in
167,2024-10-03 13:05:00,2,17,19,2024-10-03 13:24:00,3,13,20,69.32,walk_in
168,2024-10-03 13:03:00,2,27,38,2024-10-03 13:41:00,3,13,18,62.51,walk_in
169,2024-10-03 13:05:00,4,22,31,2024-10-03 13:36:00,3,13,19,64.04,walk_in
170,2024-10-03 13:54:00,2,31,23,2024-10-03 14:17:00,3,13,22,75.87,walk_in
171,2024-10-03 13:25:00,3,20,20,2024-10-03 13:45:00,3,13,18,63.2,walk_in
172,2024-10-03 13:04:00,4,18,18,2024-10-03 13:22:00,3,13,18,61.44,walk_in
173,2024-10-03 14:23:00,3,9,10,2024-10-03 14:33:00,3,14,14,49.14,walk_in
174,2024-10-03 14:36:00,4,22,25,2024-10-03 15:01:00,3,14,18,61.65,walk_in
175,2024-10-03 14:52:00,2,12,12,2024-10-03 15:04:00,3,14,14,47.88,walk_in
176,2024-10-03 15:30:00,5,22,29,2024-10-03 15:59:00,3,15,15,51.78,walk_in
177,2024-10-03 15:41:00,1,29,30,2024-10-03 16:11:00,3,15,15,52.49,walk_in
178,2024-10-03 15:05:00,2,10,7,2024-10-03 15:12:00,3,15,13,45.81,walk_in
179,2024-10-03 16:52:00,2,8,8,2024-10-03 17:00:00,3,16,12,40.49,walk_in
180,2024-10-03 17:07:00,2,20,20,2024-10-03 17:27:00,3,17,21,70.96,walk_in
181,2024-10-03 17:41:00,3,19,18,2024-10-03 17:59:00,3,17,21,71.74,walk_in
182,2024-10-03 17:21:00,1,29,22,2024-10-03 17:43:00,3,17,22,74.42,walk_in
183,2024-10-03 17:14:00,6,43,32,2024-10-03 17:46:00,3,17,24,82.69,walk_in
184,2024-10-03 17:20:00,4,25,27,2024-10-03 17:47:00,3,17,22,76.48,walk_in
185,2024-10-03 17:03:00,4,30,43,2024-10-03 17:46:00,3,17,25,85.78,walk_in
186,2024-10-03 17:22:00,4,18,18,2024-10-03 17:40:00,3,17,21,71.05,walk_in
187,2024-10-03 17:54:00,4,30,41,2024-10-03 18:35:00,3,17,26,89.78,walk_in
188,2024-10-03 17:00:00,1,28,27,2024-10-03 17:27:00,3,17,21,70.49,walk_in
189,2024-10-03 17:21:00,2,37,37,2024-10-03 17:58:00,3,17,25,85.21,walk_in
190,2024-10-03 18:41:00,3,30,24,2024-10-03 19:05:00,3,18,25,83.65,walk_in
191,2024-10-03 18:36:00,1,31,43,2024-10-03 19:19:00,3,18,23,78.96,walk_in
192,2024-10-03 18:57:00,1,18,16,2024-10-03 19:13:00,3,18,21,72.72,walk_in
193,2024-10-03 18:09:00,1,33,31,2024-10-03 18:40:00,3,18,23,77.84,walk_in
194,2024-10-03 18:07:00,6,15,18,2024-10-03 18:25:00,3,18,22,74.4,walk_in
195,2024-10-03 18:58:00,3,42,38,2024-10-03 19:36:00,3,18,23,79.08,walk_in
196,2024-10-03 18:59:00,1,30,26,2024-10-03 19:25:00,3,18,26,88.8,walk_in
197,2024-10-03 18:03:00,5,28,32,2024-10-03 18:35:00,3,18,21,71.38,walk_in
198,2024-10-03 18:16:00,6,38,41,2024-10-03 18:57:00,3,18,22,75.59,walk_in
199,2024-10-03 18:03:00,6,39,47,2024-10-03 18:50:00,3,18,25,84.02,walk_in
200,2024-10-03 19:42:00,2,38,38,2024-10-03 20:20:00,3,19,25,85.51,walk_in
201,2024-10-03 19:02:00,4,30,32,2024-10-03 19:34:00,3,19,26,87.84,walk_in
202,2024-10-03 19:39:00,6,23,33,2024-10-03 20:12:00,3,19,22,73.35,walk_in
203,2024-10-03 19:51:00,1,37,26,2024-10-03 20:17:00,3,19,26,88.53,walk_in
204,2024-10-03 19:32:00,1,25,22,2024-10-03 19:54:00,3,19,22,76.24,walk_in
205,2024-10-03 19:32:00,5,34,45,2024-10-03 20:17:00,3,19,26,88.63,walk_in
206,2024-10-03 19:45:00,3,43,40,2024-10-03 20:25:00,3,19,26,87.64,walk_in
207,2024-10-03 19:34:00,4,31,30,2024-10-03 20:04:00,3,19,26,89.79,walk_in
208,2024-10-03 19:12:00,4,24,34,2024-10-03 19:46:00,3,19,22,74.53,walk_in
209,2024-10-03 19:33:00,2,28,37,2024-10-03 20:10:00,3,19,23,78.2,walk_in
210,2024-10-03 20:39:00,3,18,25,2024-10-03 21:04:00,3,20,21,71.53,walk_in
211,2024-10-03 20:27:00,3,34,34,2024-10-03 21:01:00,3,20,26,89.42,walk_in
212,2024-10-03 20:06:00,5,33,37,2024-10-03 20:43:00,3,20,23,78.01,walk_in
213,2024-10-03 20:20:00,5,29,32,2024-10-03 20:52:00,3,20,21,70.12,walk_in
214,2024-10-03 20:20:00,2,41,57,2024-10-03 21:17:00,3,20,24,83.22,walk_in
215,2024-10-03 20:57:00,4,25,26,2024-10-03 21:23:00,3,20,25,85.8,walk_in
216,2024-10-03 20:26:00,8,44,50,2024-10-03 21:16:00,3,20,23,77.51,walk_in
217,2024-10-03 20:04:00,2,44,42,2024-10-03 20:46:00,3,20,23,79.21,walk_in
218,2024-10-03 20:38:00,2,29,23,2024-10-03 21:01:00,3,20,26,87.13,walk_in
219,2024-10-03 20:13:00,4,29,20,2024-10-03 20:33:00,3,20,21,71.67,walk_in
220,2024-10-03 21:15:00,4,27,31,2024-10-03 21:46:00,3,21,17,59.49,walk_in
221,2024-10-03 21:07:00,1,22,26,2024-10-03 21:33:00,3,21,15,51.23,walk_in
222,2024-10-03 22:10:00,2,8,7,2024-10-03 22:17:00,3,22,12,40.95,walk_in
223,2024-10-04 10:01:00,2,10,13,2024-10-04 10:14:00,4,10,13,45.67,walk_in
224,2024-10-04 10:05:00,3,21,25,2024-10-04 10:30:00,4,10,17,58.06,walk_in
225,2024-10-04 10:20:00,2,29,35,2024-10-04 10:55:00,4,10,15,51.88,walk_in
226,2024-10-04 11:49:00,2,24,27,2024-10-04 12:16:00,4,11,21,73.02,walk_in
227,2024-10-04 11:05:00,2,20,22,2024-10-04 11:27:00,4,11,19,65.12,walk_in
228,2024-10-04 11:56:00,2,31,44,2024-10-04 12:40:00,4,11,22,75.61,walk_in
229,2024-10-04 11:24:00,4,25,24,2024-10-04 11:48:00,4,11,19,63.71,walk_in
230,2024-10-04 11:48:00,6,25,36,2024-10-04 12:24:00,4,11,18,63.3,walk_in
231,2024-10-04 11:16:00,5,15,17,2024-10-04 11:33:00,4,11,20,67.3,walk_in
232,2024-10-04 11:18:00,1,22,17,2024-10-04 11:35:00,4,11,18,62.32,walk_in
233,2024-10-04 12:41:00,3,18,18,2024-10-04 12:59:00,4,12,19,66.38,walk_in
234,2024-10-04 12:48:00,4,28,21,2024-10-04 13:09:00,4,12,20,69.34,walk_in
235,2024-10-04 12:55:00,6,39,58,2024-10-04 13:53:00,4,12,23,78.48,walk_in
236,2024-10-04 12:02:00,4,28,25,2024-10-04 12:27:00,4,12,18,60.07,walk_in
237,2024-10-04 12:35:00,2,43,33,2024-10-04 13:08:00,4,12,23,77.01,walk_in
238,2024-10-04 12:55:00,1,18,21,2024-10-04 13:16:00,4,12,19,64.79,walk_in
239,2024-10-04 12:53:00,2,35,34,2024-10-04 13:27:00,4,12,22,75.04,walk_in
240,2024-10-04 13:21:00,3,25,28,2024-10-04 13:49:00,4,13,20,69.65,walk_in
241,2024-10-04 13:13:00,4,25,26,2024-10-04 13:39:00,4,13,23,77.21,walk_in
242,2024-10-04 13:04:00,2,23,21,2024-10-04 13:25:00,4,13,22,74.21,walk_in
243,2024-10-04 13:17:00,2,21,25,2024-10-04 13:42:00,4,13,18,60.84,walk_in
244,2024-10-04 13:54:00,4,20,24,2024-10-04 14:18:00,4,13,20,67.57,walk_in
245,2024-10-04 13:06:00,2,16,21,2024-10-04 13:27:00,4,13,22,73.69,walk_in
246,2024-10-04 13:09:00,4,22,15,2024-10-04 13:24:00,4,13,20,67.16,walk_in
247,2024-10-04 14:35:00,5,27,38,2024-10-04 15:13:00,4,14,16,54.4,walk_in
248,2024-10-04 14:33:00,2,26,36,2024-10-04 15:09:00,4,14,16,55.72,walk_in
249,2024-10-04 14:14:00,1,20,25,2024-10-04 14:39:00,4,14,15,51.67,walk_in
250,2024-10-04 15:42:00,2,6,5,2024-10-04 15:47:00,4,15,14,48.33,walk_in
251,2024-10-04 15:54:00,4,28,32,2024-10-04 16:26:00,4,15,15,53.06,walk_in
252,2024-10-04 15:59:00,1,22,26,2024-10-04 16:25:00,4,15,18,60.94,walk_in
253,2024-10-04 16:39:00,4,9,12,2024-10-04 16:51:00,4,16,12,40.37,walk_in
254,2024-10-04 17:37:00,2,42,31,2024-10-04 18:08:00,4,17,28,94.82,walk_in
255,2024-10-04 17:35:00,1,37,32,2024-10-04 18:07:00,4,17,27,92.09,walk_in
256,2024-10-04 17:40:00,4,41,54,2024-10-04 18:34:00,4,17,25,86.13,walk_in
257,2024-10-04 17:50:00,2,32,34,2024-10-04 18:24:00,4,17,28,94.45,walk_in
258,2024-10-04 17:20:00,4,25,35,2024-10-04 17:55:00,4,17,30,100.0,walk_in
259,2024-10-04 17:32:00,1,42,51,2024-10-04 18:23:00,4,17,29,97.97,walk_in
260,2024-10-04 17:07:00,2,39,51,2024-10-04 17:58:00,4,17,30,100.0,walk_in
261,2024-10-04 17:55:00,2,33,25,2024-10-04 18:20:00,4,17,30,100.0,walk_in
262,2024-10-04 17:13:00,3,26,34,2024-10-04 17:47:00,4,17,27,90.53,walk_in
263,2024-10-04 17:23:00,5,27,40,2024-10-04 18:03:00,4,17,30,100.0,walk_in
264,2024-10-04 17:38:00,2,25,24,2024-10-04 18:02:00,4,17,30,100.0,walk_in
265,2024-10-04 17:24:00,2,38,43,2024-10-04 18:07:00,4,17,29,98.11,walk_in
266,2024-10-04 17:44:00,3,27,39,2024-10-04 18:23:00,4,17,30,100.0,walk_in
267,2024-10-04 17:04:00,1,44,31,2024-10-04 17:35:00,4,17,30,100.0,walk_in
268,2024-10-04 18:36:00,3,30,33,2024-10-04 19:09:00,4,18,27,91.92,walk_in
269,2024-10-04 18:26:00,8,29,21,2024-10-04 18:47:00,4,18,27,91.79,walk_in
270,2024-10-04 18:11:00,3,33,32,2024-10-04 18:43:00,4,18,30,100.0,walk_in
271,2024-10-04 18:39:00,2,35,33,2024-10-04 19:12:00,4,18,28,93.5,walk_in
272,2024-10-04 18:07:00,2,28,20,2024-10-04 18:27:00,4,18,29,99.63,walk_in
273,2024-10-04 18:10:00,5,28,36,2024-10-04 18:46:00,4,18,30,100.0,walk_in
274,2024-10-04 18:27:00,4,42,38,2024-10-04 19:05:00,4,18,30,100.0,walk_in
275,2024-10-04 18:56:00,1,43,47,2024-10-04 19:43:00,4,18,29,99.13,walk_in
276,2024-10-04 18:17:00,1,33,41,2024-10-04 18:58:00,4,18,26,87.33,walk_in
277,2024-10-04 18:30:00,3,38,29,2024-10-04 18:59:00,4,18,26,86.71,walk_in
278,2024-10-04 18:56:00,4,28,32,2024-10-04 19:28:00,4,18,28,96.27,walk_in
279,2024-10-04 18:55:00,4,41,33,2024-10-04 19:28:00,4,18,27,91.26,walk_in
280,2024-10-04 18:58:00,2,27,22,2024-10-04 19:20:00,4,18,27,90.4,walk_in
281,2024-10-04 18:19:00,2,30,22,2024-10-04 18:41:00,4,18,30,100.0,walk_in
282,2024-10-04 19:58:00,7,42,34,2024-10-04 20:32:00,4,19,28,94.98,walk_in
